municipio;uf;area
NOVA OLINDA DO NORTE;AM;5578,132
NOVO AIRÃO;AM;37776,77
NOVO ARIPUANÃ;AM;41179,656
PARINTINS;AM;5956,047
PAUINI;AM;41624,664
PRESIDENTE FIGUEIREDO;AM;25459,099
RIO PRETO DA EVA;AM;5815,622
SANTA ISABEL DO RIO NEGRO;AM;62800,078
SANTO ANTÔNIO DO IÇÁ;AM;12366,143
SÃO GABRIEL DA CACHOEIRA;AM;109181,245
SÃO PAULO DE OLIVENÇA;AM;19658,502
SÃO SEBASTIÃO DO UATUMÃ;AM;10647,463
SILVES;AM;3723,382
TABATINGA;AM;3266,062
TAPAUÁ;AM;84946,035
TEFÉ;AM;23692,223
TONANTINS;AM;6446,894
UARINI;AM;10274,677
URUCARÁ;AM;27901,962
URUCURITUBA;AM;2886,494
ÁGUA BRANCA;AL;468,229
ANADIA;AL;186,134
ARAPIRACA;AL;345,655
ATALAIA;AL;533,258
BARRA DE SANTO ANTÔNIO;AL;131,364
BARRA DE SÃO MIGUEL;AL;74,247
BATALHA;AL;315,87
BELÉM;AL;66,628
BELO MONTE;AL;334,136
BOCA DA MATA;AL;193,002
BRANQUINHA;AL;168,048
CACIMBINHAS;AL;281,692
CAJUEIRO;AL;94,357
CAMPESTRE;AL;65,91
CAMPO ALEGRE;AL;312,726
CAMPO GRANDE;AL;170,144
CANAPI;AL;602,778
CAPELA;AL;263,735
CARNEIROS;AL;101,853
CHÃ PRETA;AL;157,831
COITÉ DO NÓIA;AL;88,759
COLÔNIA LEOPOLDINA;AL;207,935
COQUEIRO SECO;AL;39,608
CORURIPE;AL;897,8
CRAÍBAS;AL;278,879
DELMIRO GOUVEIA;AL;628,545
DOIS RIACHOS;AL;141,621
ESTRELA DE ALAGOAS;AL;260,772
FEIRA GRANDE;AL;175,906
FELIZ DESERTO;AL;110,062
FLEXEIRAS;AL;333,756
GIRAU DO PONCIANO;AL;513,454
IBATEGUARA;AL;265,312
IGACI;AL;334,346
IGREJA NOVA;AL;426,538
INHAPI;AL;372,019
JACARÉ DOS HOMENS;AL;148,992
JACUÍPE;AL;208,738
JAPARATINGA;AL;85,356
JARAMATAIA;AL;105,416
JEQUIÁ DA PRAIA;AL;334,265
JOAQUIM GOMES;AL;298,17
JUNDIÁ;AL;88,793
JUNQUEIRO;AL;247,724
LAGOA DA CANOA;AL;83,621
LIMOEIRO DE ANADIA;AL;309,205
MACEIÓ;AL;509,32
MAJOR ISIDORO;AL;442,744
MARAGOGI;AL;334,165
MARAVILHA;AL;332,37
MARECHAL DEODORO;AL;340,98
MARIBONDO;AL;180,107
MAR VERMELHO;AL;91,741
MATA GRANDE;AL;914,722
MATRIZ DE CAMARAGIBE;AL;238,113
MESSIAS;AL;114,156
MINADOR DO NEGRÃO;AL;167,462
MONTEIRÓPOLIS;AL;86,604
MURICI;AL;418,028
NOVO LINO;AL;215,547
OLHO D'ÁGUA DAS FLORES;AL;191,656
OLHO D'ÁGUA DO CASADO;AL;327,678
OLHO D'ÁGUA GRANDE;AL;117,006
OLIVENÇA;AL;175,317
OURO BRANCO;AL;196,56
PALESTINA;AL;38,189
PALMEIRA DOS ÍNDIOS;AL;450,99
PÃO DE AÇÚCAR;AL;688,87
PARICONHA;AL;254,719
PARIPUEIRA;AL;92,788
PASSO DE CAMARAGIBE;AL;251,29
PAULO JACINTO;AL;118,457
PENEDO;AL;688,452
PIAÇABUÇU;AL;243,686
PILAR;AL;259,614
PINDOBA;AL;117,086
PIRANHAS;AL;403,995
POÇO DAS TRINCHEIRAS;AL;284,26
PORTO CALVO;AL;313,231
PORTO DE PEDRAS;AL;257,105
PORTO REAL DO COLÉGIO;AL;235,852
QUEBRANGULO;AL;319,829
RIO LARGO;AL;293,816
ROTEIRO;AL;128,926
SANTA LUZIA DO NORTE;AL;28,857
SANTANA DO IPANEMA;AL;437,875
SANTANA DO MUNDAÚ;AL;232,169
SÃO BRÁS;AL;139,038
SÃO JOSÉ DA LAJE;AL;256,603
SÃO JOSÉ DA TAPERA;AL;492,119
SÃO LUÍS DO QUITUNDE;AL;397,257
SÃO MIGUEL DOS CAMPOS;AL;335,683
SÃO MIGUEL DOS MILAGRES;AL;76,731
SÃO SEBASTIÃO;AL;314,924
SATUBA;AL;41,268
SENADOR RUI PALMEIRA;AL;341,992
TANQUE D'ARCA;AL;124,617
TAQUARANA;AL;153,841
TEOTÔNIO VILELA;AL;299,221
TRAIPU;AL;681,577
UNIÃO DOS PALMARES;AL;420,376
VIÇOSA;AL;367,888
ACRELÂNDIA;AC;1811,613
ASSIS BRASIL;AC;4979,073
BRASILÉIA;AC;3928,174
BUJARI;AC;3034,869
CAPIXABA;AC;1705,824
CRUZEIRO DO SUL;AC;8783,47
EPITACIOLÂNDIA;AC;1652,674
FEIJÓ;AC;27976,874
JORDÃO;AC;5357,227
MÂNCIO LIMA;AC;5451,617
MANOEL URBANO;AC;10630,6
MARECHAL THAUMATURGO;AC;8190,953
PLÁCIDO DE CASTRO;AC;1952,555
PORTO WALTER;AC;6446,385
RIO BRANCO;AC;8835,154
RODRIGUES ALVES;AC;3076,342
SANTA ROSA DO PURUS;AC;6155,858
SENADOR GUIOMARD;AC;2320,169
SENA MADUREIRA;AC;23759,512
TARAUACÁ;AC;20169,485
XAPURI;AC;5350,586
PORTO ACRE;AC;2604,417
