municipio;uf;ano;Despesas Exceto Intraorçamentárias;Despesas Intraorçamentárias;Outros;01 - Legislativa;04 - Administração;06 - Segurança Pública;08 - Assistência Social;09 - Previdência Social;10 - Saúde;12 - Educação;15 - Urbanismo;17 - Saneamento;20 - Agricultura;23 - Comércio e Serviços;26 - Transporte;28 - Encargos Especiais
ARMACAO DOS BUZIOS;RJ;2014;197583519.98;0.0;4486099.509999931;5993615.66;30675590.37;11336716.94;715492.2;3054251.95;54419757.74;51492568.99;29158179.68;0.0;0.0;4905560.74;459601.21;886084.99
ARRAIAL DO CABO;RJ;2014;120819462.41;0.0;14568330.860000014;3487896.89;31464479.28;917799.66;2355601.1;4923271.98;24669332.01;25678855.42;8753030.6;0.0;0.0;767734.3;624376.99;2608753.32
BARRA DO PIRAI;RJ;2014;163269413.44;8068508.86;11753374.48000002;5485590.2;35624202.7;2146066.88;2704635.15;13782158.85;43971145.91;43059363.77;7034383.17;1261491.28;185544.13;1759187.4;791739.6;1779038.78
BARRA MANSA;RJ;2014;359424896.08;0.0;13669199.49000001;0.0;70722962.0;0.0;6123395.37;44522803.5;100508793.26;95803109.72;18313881.71;0.0;614143.0;110000.0;1398749.15;7637858.88
BELFORD ROXO;RJ;2014;542983375.35;0.0;20985769.380000055;13531297.34;97151123.48;4000.0;4489818.84;23944239.07;150481681.67;184240073.26;39706832.35;445889.5;0.0;0.0;449906.64;7552743.82
BOM JARDIM;RJ;2014;71977397.75;4212940.9;5607933.620000005;2272768.84;9791218.9;1253909.48;1653600.2;7962725.52;17705163.59;14508025.81;11494968.83;0.0;363803.71;1171578.18;2001961.77;402680.2
BOM JESUS DO ITABAPOANA;RJ;2014;86295591.52;0.0;940317.7099999934;3084620.79;13582313.41;0.0;3658987.09;0.0;23540369.13;21071593.0;11080867.94;7303576.43;824618.08;39802.01;4350.5;1164175.43
CABO FRIO;RJ;2014;874737367.91;19509277.88;39457305.68999994;14035230.97;182296141.12;13064.04;10564708.85;42651645.42;232013961.88;193756565.48;165079804.0;0.0;0.0;10955362.58;0.0;3422855.76
CACHOEIRAS DE MACACU;RJ;2014;150990305.13;4738918.9;15684242.650000036;4895517.82;23383925.32;136894.17;1285704.58;11256141.3;47159891.25;35853057.0;3679455.39;3451529.97;819081.69;3959904.62;1834447.17;2329431.1
CAMBUCI;RJ;2014;43523664.26;1030588.37;1461392.4699999914;2004394.89;20446067.68;0.0;284223.44;0.0;11053736.66;7795464.45;0.0;0.0;9528.0;0.0;0.0;1499445.04
CARAPEBUS;RJ;2014;94078594.38;0.0;1019433.25;3708415.42;35223629.09;4000.0;2829833.91;0.0;24111951.37;14748196.13;11456970.16;0.0;0.0;976165.05;0.0;0.0
CAMPOS DOS GOYTACAZES;RJ;2014;2377161022.82;0.0;180495107.09000015;0.0;680443345.82;486930.09;81403718.63;98961.26;689821994.1;362821415.43;245563047.77;82240161.81;8428596.11;620701.12;32207565.98;12529477.61
CANTAGALO;RJ;2014;73185530.47;3204006.29;4639554.970000014;2519789.74;7249945.3;985119.68;2126913.54;9494514.49;19521823.88;14015172.91;7629595.65;2252126.69;727668.51;2665695.01;1867792.11;693824.28
CARDOSO MOREIRA;RJ;2014;46697373.32;0.0;1125906.3299999982;1990332.87;13298178.18;0.0;1952222.19;1930236.32;10063000.63;11975261.98;1169712.66;0.0;1745086.93;0.0;858079.68;589355.55
