municipio;ano;Royalties Estado;Cessão Onerosa - PBAM;Royalties - ANP;Royalties - CFH;Royalties - CFM;Royalties - FEP;Royalties - PEA;Total Geral
SAO SEBASTIAO DO ALTO;2016;674582.40;0;3676133.98;0;;56407.77;0;4407124.15
SAO SEBASTIAO DO ALTO;2017;892209.04;0;4909821.50;0;;74257.36;0;5876287.90
SAO SEBASTIAO DO ALTO;2018;1638689.19;0;7596107.02;0;91.16;114025.82;0;9348913.19
SAO SEBASTIAO DO ALTO;2019;1642538.16;386498.07;8354275.49;0;;113889.42;0;10497201.14
SAO SEBASTIAO DO ALTO;2020;1739588.33;0;8562522.71;0;;112849.49;0;10414960.53
SAPUCAIA;2016;1024682.12;0;;132646.34;4441.49;112815.55;0;1274585.50
SAPUCAIA;2017;1412347.89;0;;130735.08;10096.96;148514.71;0;1701694.64
SAPUCAIA;2018;2270779.05;0;;145158.81;12169.35;228051.65;0;2656158.86
SAPUCAIA;2019;2362130.32;772996.15;0;169541.34;12154.64;227778.81;0;3544601.26
SAPUCAIA;2020;2245273.67;0;6039116.72;220744.52;22722.30;225698.95;0;8753556.16
SAQUAREMA;2016;888057.84;0;30388067.80;0;307.54;263236.28;0;31539669.46
SAQUAREMA;2017;1186422.29;0;72742868.01;0;779.01;346534.37;0;74276603.68
SAQUAREMA;2018;1961948.88;0;102947729.82;0;1975.68;532120.48;0;105443774.86
SAQUAREMA;2019;2155831.34;1803657.68;205453696.15;0;932.95;531483.95;62136.49;210007738.56
SAQUAREMA;2020;3061192.94;0;455951019.74;0;3383.32;526630.91;125802.62;459668029.53
SEROPEDICA;2016;1835888.81;0;6433234.58;0;1934050.25;263236.28;0;10466409.92
SEROPEDICA;2017;2900576.71;0;8592168.59;0;728870.39;346534.37;0;12568150.06
SEROPEDICA;2018;3711193.25;0;13293187.45;0;404097.72;532120.48;0;17940598.90
SEROPEDICA;2019;3974550.96;1803657.68;14619982.34;0;2917564.83;531483.95;0;23847239.76
SEROPEDICA;2020;4335511.23;0;14984391.06;0;3118211.95;526630.91;0;22964745.15
SILVA JARDIM;2016;1084455.26;0;23947177.79;0;4538.50;112815.55;0;25148987.10
SILVA JARDIM;2017;1408551.29;0;31575894.63;0;4371.33;148514.71;0;33137331.96
SILVA JARDIM;2018;2282817.37;0;22617558.02;0;4937.57;228051.65;0;25133364.61
SILVA JARDIM;2019;2322651.64;772996.15;25793659.91;0;186.86;227778.81;0;29117273.37
SILVA JARDIM;2020;2622879.08;0;33932750.27;0;2452.35;225698.95;0;36783780.65
SUMIDOURO;2016;751433.57;0;4227554.10;0;530.09;94012.96;0;5073530.72
SUMIDOURO;2017;994718.14;0;5646289.50;0;24342.28;123762.29;0;6789112.21
SUMIDOURO;2018;1601863.36;0;8735523.14;0;19070.95;190043.01;0;10546500.46
SUMIDOURO;2019;1693867.50;644163.46;9607416.83;0;13661.76;189815.70;0;12148925.25
SUMIDOURO;2020;1692389.63;0;9846901.17;0;22504.53;188082.45;0;11749877.78
TANGUA;2016;643272.67;0;5146587.62;0;72972.00;150420.71;0;6013253.00
TANGUA;2017;861835.96;0;6873747.10;0;94472.12;198019.64;0;8028074.82
TANGUA;2018;1332208.57;0;10634549.91;0;39835.30;304068.84;0;12310662.62
TANGUA;2019;1443637.08;1030661.53;11695985.79;0;18277.11;303705.10;0;14492266.61
TANGUA;2020;1510346.06;0;11987507.99;0;41131.00;300931.96;0;13839917.01
TERESOPOLIS;2016;2114830.03;0;7352268.13;0;42814.73;477699.56;0;9987612.45
TERESOPOLIS;2017;2904373.32;0;9819618.22;0;46633.60;629284.34;0;13399909.48
TERESOPOLIS;2018;4649983.13;0;15192214.28;0;40209.19;965972.16;0;20848378.76
TERESOPOLIS;2019;4897497.03;3370025.63;16708551.19;0;57215.00;993045.71;0;26026334.56
TERESOPOLIS;2020;4996265.32;0;17125021.72;0;71182.56;984199.77;0;23176669.37
TRAJANO DE MORAIS;2016;785589.63;0;3857234.66;81081.55;20716.02;75210.36;0;4819832.22
TRAJANO DE MORAIS;2017;1059260.93;0;5155293.40;50388.69;197.44;99009.82;0;6364150.28
TRAJANO DE MORAIS;2018;1568499.19;0;7975846.74;83411.11;87.29;152034.41;0;9779878.74
TRAJANO DE MORAIS;2019;1732364.49;515330.77;8771989.33;84930.77;62.40;151852.56;0;11256530.32
TRAJANO DE MORAIS;2020;1833994.10;0;8990648.88;141144.20;1747.54;150465.94;0;11118000.66
TRES RIOS;2016;1852966.85;0;;677797.99;80746.67;244433.68;0;2855945.19
TRES RIOS;2017;2553210.59;0;;925319.38;76601.07;321781.92;0;3876912.96
TRES RIOS;2018;3944993.74;0;;999400.17;44599.71;494111.87;0;5483105.49
TRES RIOS;2019;4140389.60;1674824.99;0;1288358.29;670910.14;493520.81;0;8268003.83
TRES RIOS;2020;4200637.36;0;8807045.30;1679561.24;231920.39;526630.91;0;15445795.20
VALENCA;2016;1249542.92;0;6249427.83;0;5789.58;244433.68;0;7749194.01
VALENCA;2017;1729340.95;0;8346676.65;0;2018.45;321781.92;0;10399817.97
VALENCA;2018;2874280.22;0;12913382.09;0;1095.42;494111.87;0;16282869.60
VALENCA;2019;3074324.61;1674824.99;14202268.50;0;580216.62;493520.81;0;20025155.53
